name,carry-on compliance,Aeroflot,AeroMexico,Air Canada,Air China,Air France,Air New Zealand,Air Transat,AirAsia,Alaska Airlines,American Airlines,ANA,Asiana Airlines,Austrian Airlines,British Airways,Cathay Pacific,China Airlines,China Eastern,China Southern,Delta,easyJet,Emirates,Etihad Airways,Eva Airways,Fiji Airways,Frontier Airlines,Hainan Airlines,Hawaiian,Iberia,Icelandair,Indigo,Japan Airlines,Jet2.com,jetBlue Airways,Jetstar,Juneyao Airlines,KLM,Korean Air,LATAM Airlines,Lufthansa,Qantas,Qatar Airways,Ryanair,SAUDIA,Shenzhen Airlines,Singapore Airlines,Southwest Airlines,Spirit Airlines,Swiss,Thai Airways,Turkish Airlines,United Airlines,Virgin Atlantic,Vueling,WestJet,Wizz Air,Xiamen Airlines,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.11 Rush 12,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
5.11 Rush 12 2.0,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Able Carry Daily Backpack,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Able Carry Max EDC,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Able Carry Max Pack,89%,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Able Carry Thirteen Daybag,95%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Aer City Pack,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Aer City Pack Pro,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
Aer City Pack X-Pac,93%,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✗,✔,✗,✔,,,,,,,,
